GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	Biosample	distance_min	distance_max	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	tissue.biosample	pred_name_long	hex	count	cat	pairs
T_CD4_pos_naive	25	22	BMMC22_CD4_pos_T_naive	0	30000	105	0.238095238095238	0.20952380952381	0.88	scE2G_multiome	T_CD4_pos_naive.BMMC22_CD4_pos_T_naive	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
T_CD8_pos	128	110	BMMC22_CD8_pos_T	0	30000	771	0.166018158236057	0.142671854734112	0.859375	scE2G_multiome	T_CD8_pos.BMMC22_CD8_pos_T	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
T	55	49	BMMC22_CD8_pos_T	0	30000	298	0.184563758389262	0.164429530201342	0.890909090909091	scE2G_multiome	T.BMMC22_CD8_pos_T	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
T_CD8_pos	125	110	BMMC22_CD8_pos_T_naive	0	30000	771	0.162127107652399	0.142671854734112	0.88	scE2G_multiome	T_CD8_pos.BMMC22_CD8_pos_T_naive	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
T	51	46	BMMC22_CD8_pos_T_naive	0	30000	298	0.171140939597315	0.154362416107383	0.901960784313725	scE2G_multiome	T.BMMC22_CD8_pos_T_naive	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
monocyte	704	583	BMMC22_CD14_pos_Mono	0	30000	2808	0.250712250712251	0.207621082621083	0.828125	scE2G_multiome	monocyte.BMMC22_CD14_pos_Mono	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
macrophage	117	101	BMMC22_CD14_pos_Mono	0	30000	573	0.204188481675393	0.176265270506108	0.863247863247863	scE2G_multiome	macrophage.BMMC22_CD14_pos_Mono	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
monocyte_CD14_pos	15	13	BMMC22_CD14_pos_Mono	0	30000	55	0.272727272727273	0.236363636363636	0.866666666666667	scE2G_multiome	monocyte_CD14_pos.BMMC22_CD14_pos_Mono	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
monocyte	610	487	BMMC22_CD16_pos_Mono	0	30000	2808	0.217236467236467	0.173433048433048	0.798360655737705	scE2G_multiome	monocyte.BMMC22_CD16_pos_Mono	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
monocyte_CD16_pos	100	85	BMMC22_CD16_pos_Mono	0	30000	446	0.224215246636771	0.190582959641256	0.85	scE2G_multiome	monocyte_CD16_pos.BMMC22_CD16_pos_Mono	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
macrophage	100	84	BMMC22_CD16_pos_Mono	0	30000	573	0.174520069808028	0.146596858638743	0.84	scE2G_multiome	macrophage.BMMC22_CD16_pos_Mono	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
dendritic	11	9	BMMC22_cDC2	0	30000	35	0.314285714285714	0.257142857142857	0.818181818181818	scE2G_multiome	dendritic.BMMC22_cDC2	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
blood	341	261	BMMC22_Erythroblast	0	30000	2846	0.119817287420942	0.0917076598735067	0.765395894428153	scE2G_multiome	blood.BMMC22_Erythroblast	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
monocyte	607	499	BMMC22_G_M_prog	0	30000	2808	0.216168091168091	0.177706552706553	0.822075782537068	scE2G_multiome	monocyte.BMMC22_G_M_prog	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
iPSC	59	47	BMMC22_G_M_prog	0	30000	656	0.0899390243902439	0.0716463414634146	0.796610169491525	scE2G_multiome	iPSC.BMMC22_G_M_prog	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
neutrophil	231	183	BMMC22_G_M_prog	0	30000	939	0.246006389776358	0.194888178913738	0.792207792207792	scE2G_multiome	neutrophil.BMMC22_G_M_prog	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
iPSC	56	47	BMMC22_HSC	0	30000	656	0.0853658536585366	0.0716463414634146	0.839285714285714	scE2G_multiome	iPSC.BMMC22_HSC	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
NK	153	133	BMMC22_ILC	0	30000	699	0.218884120171674	0.190271816881259	0.869281045751634	scE2G_multiome	NK.BMMC22_ILC	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
iPSC	58	49	BMMC22_Lymph_prog	0	30000	656	0.0884146341463415	0.0746951219512195	0.844827586206897	scE2G_multiome	iPSC.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
NK	111	92	BMMC22_Lymph_prog	0	30000	699	0.158798283261803	0.131616595135908	0.828828828828829	scE2G_multiome	NK.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
T	58	41	BMMC22_Lymph_prog	0	30000	298	0.194630872483221	0.13758389261745	0.706896551724138	scE2G_multiome	T.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
B	81	68	BMMC22_Lymph_prog	0	30000	498	0.162650602409639	0.136546184738956	0.839506172839506	scE2G_multiome	B.BMMC22_Lymph_prog	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
iPSC	55	45	BMMC22_MK_E_prog	0	30000	656	0.0838414634146342	0.0685975609756098	0.818181818181818	scE2G_multiome	iPSC.BMMC22_MK_E_prog	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
B	85	69	BMMC22_Naive_CD20_pos_B	0	30000	498	0.170682730923695	0.13855421686747	0.811764705882353	scE2G_multiome	B.BMMC22_Naive_CD20_pos_B	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
NK	174	149	BMMC22_NK	0	30000	699	0.248927038626609	0.213161659513591	0.85632183908046	scE2G_multiome	NK.BMMC22_NK	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
blood	273	211	BMMC22_Normoblast	0	30000	2846	0.0959241040056219	0.0741391426563598	0.772893772893773	scE2G_multiome	blood.BMMC22_Normoblast	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
dendritic	11	8	BMMC22_pDC	0	30000	35	0.314285714285714	0.228571428571429	0.727272727272727	scE2G_multiome	dendritic.BMMC22_pDC	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
B	75	64	BMMC22_Plasma_cell	0	30000	498	0.150602409638554	0.1285140562249	0.853333333333333	scE2G_multiome	B.BMMC22_Plasma_cell	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
blood	379	303	BMMC22_Proerythroblast	0	30000	2846	0.133169360505973	0.10646521433591	0.799472295514512	scE2G_multiome	blood.BMMC22_Proerythroblast	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
B	83	74	BMMC22_Transitional_B	0	30000	498	0.166666666666667	0.14859437751004	0.891566265060241	scE2G_multiome	B.BMMC22_Transitional_B	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
dendritic	9	7	PBMC_10_cDC	0	30000	35	0.257142857142857	0.2	0.777777777777778	scE2G_multiome	dendritic.PBMC_10_cDC	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
monocyte	605	494	PBMC_11_CD14.Mono.1	0	30000	2808	0.21545584045584	0.175925925925926	0.816528925619835	scE2G_multiome	monocyte.PBMC_11_CD14.Mono.1	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
macrophage	100	84	PBMC_11_CD14.Mono.1	0	30000	573	0.174520069808028	0.146596858638743	0.84	scE2G_multiome	macrophage.PBMC_11_CD14.Mono.1	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
monocyte_CD14_pos	12	12	PBMC_11_CD14.Mono.1	0	30000	55	0.218181818181818	0.218181818181818	1	scE2G_multiome	monocyte_CD14_pos.PBMC_11_CD14.Mono.1	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
monocyte	633	532	PBMC_12_CD14.Mono.2	0	30000	2808	0.22542735042735	0.189458689458689	0.84044233807267	scE2G_multiome	monocyte.PBMC_12_CD14.Mono.2	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
macrophage	103	87	PBMC_12_CD14.Mono.2	0	30000	573	0.179755671902269	0.151832460732984	0.844660194174757	scE2G_multiome	macrophage.PBMC_12_CD14.Mono.2	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
monocyte_CD14_pos	14	13	PBMC_12_CD14.Mono.2	0	30000	55	0.254545454545455	0.236363636363636	0.928571428571429	scE2G_multiome	monocyte_CD14_pos.PBMC_12_CD14.Mono.2	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
monocyte	567	446	PBMC_13_CD16.Mono	0	30000	2808	0.201923076923077	0.158831908831909	0.786596119929453	scE2G_multiome	monocyte.PBMC_13_CD16.Mono	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
monocyte_CD16_pos	89	72	PBMC_13_CD16.Mono	0	30000	446	0.199551569506726	0.161434977578475	0.808988764044944	scE2G_multiome	monocyte_CD16_pos.PBMC_13_CD16.Mono	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
macrophage	89	68	PBMC_13_CD16.Mono	0	30000	573	0.155322862129145	0.118673647469459	0.764044943820225	scE2G_multiome	macrophage.PBMC_13_CD16.Mono	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
B	82	71	PBMC_17_B	0	30000	498	0.164658634538153	0.142570281124498	0.865853658536585	scE2G_multiome	B.PBMC_17_B	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
B_memory	9	8	PBMC_17_B	0	30000	64	0.140625	0.125	0.888888888888889	scE2G_multiome	B_memory.PBMC_17_B	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
Tfh	63	52	PBMC_20_CD4.N1	0	30000	390	0.161538461538462	0.133333333333333	0.825396825396825	scE2G_multiome	Tfh.PBMC_20_CD4.N1	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
Treg	127	106	PBMC_20_CD4.N1	0	30000	955	0.132984293193717	0.110994764397906	0.834645669291339	scE2G_multiome	Treg.PBMC_20_CD4.N1	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
T	47	39	PBMC_20_CD4.N1	0	30000	298	0.157718120805369	0.130872483221477	0.829787234042553	scE2G_multiome	T.PBMC_20_CD4.N1	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
T_CD4_pos_naive	18	15	PBMC_20_CD4.N1	0	30000	105	0.171428571428571	0.142857142857143	0.833333333333333	scE2G_multiome	T_CD4_pos_naive.PBMC_20_CD4.N1	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
T_CD4_pos	534	429	PBMC_22_CD4.M	0	30000	3772	0.141569459172853	0.11373276776246	0.803370786516854	scE2G_multiome	T_CD4_pos.PBMC_22_CD4.M	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
Tfh	73	64	PBMC_22_CD4.M	0	30000	390	0.187179487179487	0.164102564102564	0.876712328767123	scE2G_multiome	Tfh.PBMC_22_CD4.M	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
Treg	146	122	PBMC_22_CD4.M	0	30000	955	0.152879581151832	0.127748691099476	0.835616438356164	scE2G_multiome	Treg.PBMC_22_CD4.M	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
T	54	46	PBMC_22_CD4.M	0	30000	298	0.181208053691275	0.154362416107383	0.851851851851852	scE2G_multiome	T.PBMC_22_CD4.M	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
T_CD8_pos	119	105	PBMC_24_CD8.CM	0	30000	771	0.154345006485084	0.136186770428016	0.882352941176471	scE2G_multiome	T_CD8_pos.PBMC_24_CD8.CM	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
T	52	45	PBMC_24_CD8.CM	0	30000	298	0.174496644295302	0.151006711409396	0.865384615384615	scE2G_multiome	T.PBMC_24_CD8.CM	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
NK	151	126	PBMC_25_NK	0	30000	699	0.216022889842632	0.180257510729614	0.834437086092715	scE2G_multiome	NK.PBMC_25_NK	scE2G (Multiome)	#792374	35-3772 variants	All variants	64-64 biosample pairs
blood	274	258	K562	0	10	999	0.274274274274274	0.258258258258258	0.941605839416058	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
spleen	60	58	K562	0	10	266	0.225563909774436	0.218045112781955	0.966666666666667	scE2G_ATAC	spleen.K562	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
LCL	258	252	GM12878	0	10	864	0.298611111111111	0.291666666666667	0.976744186046512	scE2G_ATAC	LCL.GM12878	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	46	46	BMMC22_B1_B	0	10	156	0.294871794871795	0.294871794871795	1	scE2G_ATAC	B.BMMC22_B1_B	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD4_pos	258	247	BMMC22_CD4_pos_T_activated	0	10	1038	0.248554913294798	0.237957610789981	0.957364341085271	scE2G_ATAC	T_CD4_pos.BMMC22_CD4_pos_T_activated	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
Tfh	37	36	BMMC22_CD4_pos_T_activated	0	10	134	0.276119402985075	0.26865671641791	0.972972972972973	scE2G_ATAC	Tfh.BMMC22_CD4_pos_T_activated	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
Treg	67	63	BMMC22_CD4_pos_T_activated	0	10	287	0.233449477351916	0.219512195121951	0.940298507462687	scE2G_ATAC	Treg.BMMC22_CD4_pos_T_activated	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	36	35	BMMC22_CD4_pos_T_activated	0	10	118	0.305084745762712	0.296610169491525	0.972222222222222	scE2G_ATAC	T.BMMC22_CD4_pos_T_activated	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
Tfh	41	40	BMMC22_CD4_pos_T_naive	0	10	134	0.305970149253731	0.298507462686567	0.975609756097561	scE2G_ATAC	Tfh.BMMC22_CD4_pos_T_naive	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
Treg	69	66	BMMC22_CD4_pos_T_naive	0	10	287	0.240418118466899	0.229965156794425	0.956521739130435	scE2G_ATAC	Treg.BMMC22_CD4_pos_T_naive	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	37	36	BMMC22_CD4_pos_T_naive	0	10	118	0.313559322033898	0.305084745762712	0.972972972972973	scE2G_ATAC	T.BMMC22_CD4_pos_T_naive	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD4_pos_naive	11	11	BMMC22_CD4_pos_T_naive	0	10	26	0.423076923076923	0.423076923076923	1	scE2G_ATAC	T_CD4_pos_naive.BMMC22_CD4_pos_T_naive	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD8_pos	64	61	BMMC22_CD8_pos_T	0	10	250	0.256	0.244	0.953125	scE2G_ATAC	T_CD8_pos.BMMC22_CD8_pos_T	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	36	36	BMMC22_CD8_pos_T	0	10	118	0.305084745762712	0.305084745762712	1	scE2G_ATAC	T.BMMC22_CD8_pos_T	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD8_pos	70	68	BMMC22_CD8_pos_T_naive	0	10	250	0.28	0.272	0.971428571428571	scE2G_ATAC	T_CD8_pos.BMMC22_CD8_pos_T_naive	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	33	32	BMMC22_CD8_pos_T_naive	0	10	118	0.279661016949153	0.271186440677966	0.96969696969697	scE2G_ATAC	T.BMMC22_CD8_pos_T_naive	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	400	387	BMMC22_CD14_pos_Mono	0	10	992	0.403225806451613	0.390120967741936	0.9675	scE2G_ATAC	monocyte.BMMC22_CD14_pos_Mono	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
macrophage	76	74	BMMC22_CD14_pos_Mono	0	10	213	0.356807511737089	0.347417840375587	0.973684210526316	scE2G_ATAC	macrophage.BMMC22_CD14_pos_Mono	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte_CD14_pos	7	6	BMMC22_CD14_pos_Mono	0	10	21	0.333333333333333	0.285714285714286	0.857142857142857	scE2G_ATAC	monocyte_CD14_pos.BMMC22_CD14_pos_Mono	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	350	336	BMMC22_CD16_pos_Mono	0	10	992	0.352822580645161	0.338709677419355	0.96	scE2G_ATAC	monocyte.BMMC22_CD16_pos_Mono	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte_CD16_pos	57	56	BMMC22_CD16_pos_Mono	0	10	148	0.385135135135135	0.378378378378378	0.982456140350877	scE2G_ATAC	monocyte_CD16_pos.BMMC22_CD16_pos_Mono	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
macrophage	66	65	BMMC22_CD16_pos_Mono	0	10	213	0.309859154929577	0.305164319248826	0.984848484848485	scE2G_ATAC	macrophage.BMMC22_CD16_pos_Mono	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
blood	245	231	BMMC22_Erythroblast	0	10	999	0.245245245245245	0.231231231231231	0.942857142857143	scE2G_ATAC	blood.BMMC22_Erythroblast	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	366	348	BMMC22_G_M_prog	0	10	992	0.368951612903226	0.350806451612903	0.950819672131147	scE2G_ATAC	monocyte.BMMC22_G_M_prog	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
iPSC	49	45	BMMC22_G_M_prog	0	10	226	0.216814159292035	0.199115044247788	0.918367346938776	scE2G_ATAC	iPSC.BMMC22_G_M_prog	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
neutrophil	141	137	BMMC22_G_M_prog	0	10	299	0.471571906354515	0.45819397993311	0.971631205673759	scE2G_ATAC	neutrophil.BMMC22_G_M_prog	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
iPSC	51	49	BMMC22_HSC	0	10	226	0.225663716814159	0.216814159292035	0.96078431372549	scE2G_ATAC	iPSC.BMMC22_HSC	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
NK	72	71	BMMC22_ILC	0	10	226	0.31858407079646	0.314159292035398	0.986111111111111	scE2G_ATAC	NK.BMMC22_ILC	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
iPSC	48	48	BMMC22_Lymph_prog	0	10	226	0.212389380530973	0.212389380530973	1	scE2G_ATAC	iPSC.BMMC22_Lymph_prog	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
NK	67	63	BMMC22_Lymph_prog	0	10	226	0.29646017699115	0.278761061946903	0.940298507462687	scE2G_ATAC	NK.BMMC22_Lymph_prog	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	32	32	BMMC22_Lymph_prog	0	10	118	0.271186440677966	0.271186440677966	1	scE2G_ATAC	T.BMMC22_Lymph_prog	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	49	49	BMMC22_Lymph_prog	0	10	156	0.314102564102564	0.314102564102564	1	scE2G_ATAC	B.BMMC22_Lymph_prog	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
iPSC	52	50	BMMC22_MK_E_prog	0	10	226	0.230088495575221	0.221238938053097	0.961538461538461	scE2G_ATAC	iPSC.BMMC22_MK_E_prog	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	44	44	BMMC22_Naive_CD20_pos_B	0	10	156	0.282051282051282	0.282051282051282	1	scE2G_ATAC	B.BMMC22_Naive_CD20_pos_B	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
NK	85	83	BMMC22_NK	0	10	226	0.376106194690265	0.367256637168142	0.976470588235294	scE2G_ATAC	NK.BMMC22_NK	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
blood	197	187	BMMC22_Normoblast	0	10	999	0.197197197197197	0.187187187187187	0.949238578680203	scE2G_ATAC	blood.BMMC22_Normoblast	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	44	44	BMMC22_Plasma_cell	0	10	156	0.282051282051282	0.282051282051282	1	scE2G_ATAC	B.BMMC22_Plasma_cell	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
blood	278	259	BMMC22_Proerythroblast	0	10	999	0.278278278278278	0.259259259259259	0.931654676258993	scE2G_ATAC	blood.BMMC22_Proerythroblast	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	47	47	BMMC22_Transitional_B	0	10	156	0.301282051282051	0.301282051282051	1	scE2G_ATAC	B.BMMC22_Transitional_B	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	362	345	PBMC_11_CD14.Mono.1	0	10	992	0.36491935483871	0.347782258064516	0.953038674033149	scE2G_ATAC	monocyte.PBMC_11_CD14.Mono.1	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
macrophage	69	67	PBMC_11_CD14.Mono.1	0	10	213	0.323943661971831	0.314553990610329	0.971014492753623	scE2G_ATAC	macrophage.PBMC_11_CD14.Mono.1	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte_CD14_pos	6	6	PBMC_11_CD14.Mono.1	0	10	21	0.285714285714286	0.285714285714286	1	scE2G_ATAC	monocyte_CD14_pos.PBMC_11_CD14.Mono.1	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	376	359	PBMC_12_CD14.Mono.2	0	10	992	0.379032258064516	0.361895161290323	0.954787234042553	scE2G_ATAC	monocyte.PBMC_12_CD14.Mono.2	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
macrophage	73	72	PBMC_12_CD14.Mono.2	0	10	213	0.342723004694836	0.338028169014085	0.986301369863014	scE2G_ATAC	macrophage.PBMC_12_CD14.Mono.2	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte_CD14_pos	6	6	PBMC_12_CD14.Mono.2	0	10	21	0.285714285714286	0.285714285714286	1	scE2G_ATAC	monocyte_CD14_pos.PBMC_12_CD14.Mono.2	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte	331	324	PBMC_13_CD16.Mono	0	10	992	0.33366935483871	0.326612903225806	0.978851963746223	scE2G_ATAC	monocyte.PBMC_13_CD16.Mono	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
monocyte_CD16_pos	55	54	PBMC_13_CD16.Mono	0	10	148	0.371621621621622	0.364864864864865	0.981818181818182	scE2G_ATAC	monocyte_CD16_pos.PBMC_13_CD16.Mono	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
macrophage	63	62	PBMC_13_CD16.Mono	0	10	213	0.295774647887324	0.291079812206573	0.984126984126984	scE2G_ATAC	macrophage.PBMC_13_CD16.Mono	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
B	45	45	PBMC_17_B	0	10	156	0.288461538461538	0.288461538461538	1	scE2G_ATAC	B.PBMC_17_B	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
Tfh	29	29	PBMC_20_CD4.N1	0	10	134	0.216417910447761	0.216417910447761	1	scE2G_ATAC	Tfh.PBMC_20_CD4.N1	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
Treg	56	55	PBMC_20_CD4.N1	0	10	287	0.195121951219512	0.191637630662021	0.982142857142857	scE2G_ATAC	Treg.PBMC_20_CD4.N1	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	28	27	PBMC_20_CD4.N1	0	10	118	0.23728813559322	0.228813559322034	0.964285714285714	scE2G_ATAC	T.PBMC_20_CD4.N1	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD4_pos_naive	7	7	PBMC_20_CD4.N1	0	10	26	0.269230769230769	0.269230769230769	1	scE2G_ATAC	T_CD4_pos_naive.PBMC_20_CD4.N1	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD4_pos	260	255	PBMC_22_CD4.M	0	10	1038	0.250481695568401	0.245664739884393	0.980769230769231	scE2G_ATAC	T_CD4_pos.PBMC_22_CD4.M	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
Tfh	38	37	PBMC_22_CD4.M	0	10	134	0.283582089552239	0.276119402985075	0.973684210526316	scE2G_ATAC	Tfh.PBMC_22_CD4.M	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
Treg	69	65	PBMC_22_CD4.M	0	10	287	0.240418118466899	0.226480836236934	0.942028985507246	scE2G_ATAC	Treg.PBMC_22_CD4.M	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	36	35	PBMC_22_CD4.M	0	10	118	0.305084745762712	0.296610169491525	0.972222222222222	scE2G_ATAC	T.PBMC_22_CD4.M	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T_CD8_pos	66	65	PBMC_24_CD8.CM	0	10	250	0.264	0.26	0.984848484848485	scE2G_ATAC	T_CD8_pos.PBMC_24_CD8.CM	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
T	32	31	PBMC_24_CD8.CM	0	10	118	0.271186440677966	0.26271186440678	0.96875	scE2G_ATAC	T.PBMC_24_CD8.CM	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
NK	80	75	PBMC_25_NK	0	10	226	0.353982300884956	0.331858407079646	0.9375	scE2G_ATAC	NK.PBMC_25_NK	scE2G (scATAC)	#006479	21-1038 variants	0-10 Kb	60-60 biosample pairs
blood	169	95	K562	10	100	1464	0.115437158469945	0.0648907103825137	0.562130177514793	scE2G_ATAC	blood.K562	scE2G (scATAC)	#006479	21-1920 variants	10-100 Kb	64-64 biosample pairs
