GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	Biosample	distance_min	distance_max	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	tissue.biosample	pred_name_long	hex	count	cat	pairs
NK	6	1	PBMC5_NK	250	1000	44	0.136363636363636	0.0227272727272727	0.166666666666667	Kendall	NK.PBMC5_NK	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-134 variants	250-1000 Kb	7-7 biosample pairs
blood	613	317	K562	0	30000	2846	0.215390021082221	0.111384399156711	0.517128874388255	Kendall	blood.K562	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-2846 variants	All variants	11-11 biosample pairs
spleen	132	61	K562	0	30000	618	0.213592233009709	0.098705501618123	0.462121212121212	Kendall	spleen.K562	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-2846 variants	All variants	11-11 biosample pairs
LCL	547	333	GM12878	0	30000	2398	0.228106755629691	0.138865721434529	0.608775137111517	Kendall	LCL.GM12878	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-2846 variants	All variants	11-11 biosample pairs
B	132	74	BMMC5_B	0	30000	498	0.265060240963855	0.14859437751004	0.560606060606061	Kendall	B.BMMC5_B	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-2846 variants	All variants	11-11 biosample pairs
T	85	42	BMMC5_T	0	30000	298	0.285234899328859	0.140939597315436	0.494117647058824	Kendall	T.BMMC5_T	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-2846 variants	All variants	11-11 biosample pairs
dendritic	14	5	BMMC5_Dendritic	0	30000	35	0.4	0.142857142857143	0.357142857142857	Kendall	dendritic.BMMC5_Dendritic	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-2846 variants	All variants	11-11 biosample pairs
blood	603	391	BMMC5_Erythroid	0	30000	2846	0.211876317638791	0.137385804638089	0.648424543946932	Kendall	blood.BMMC5_Erythroid	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-2846 variants	All variants	11-11 biosample pairs
B	111	58	PBMC5_B	0	30000	498	0.22289156626506	0.116465863453815	0.522522522522523	Kendall	B.PBMC5_B	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-2846 variants	All variants	11-11 biosample pairs
dendritic	12	5	PBMC5_DC	0	30000	35	0.342857142857143	0.142857142857143	0.416666666666667	Kendall	dendritic.PBMC5_DC	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-2846 variants	All variants	11-11 biosample pairs
NK	194	94	PBMC5_NK	0	30000	699	0.277539341917024	0.13447782546495	0.484536082474227	Kendall	NK.PBMC5_NK	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-2846 variants	All variants	11-11 biosample pairs
T	76	34	PBMC5_T	0	30000	298	0.25503355704698	0.114093959731544	0.447368421052632	Kendall	T.PBMC5_T	Kendall correlation (access. at E x expr. at G)	#d3a9ce	35-2846 variants	All variants	11-11 biosample pairs
blood	287	276	K562	0	10	999	0.287287287287287	0.276276276276276	0.961672473867596	scABC	blood.K562	ABC (A=scATAC, C=power law)	#0096a0	118-999 variants	0-10 Kb	9-9 biosample pairs
spleen	61	59	K562	0	10	266	0.229323308270677	0.221804511278196	0.967213114754098	scABC	spleen.K562	ABC (A=scATAC, C=power law)	#0096a0	118-999 variants	0-10 Kb	9-9 biosample pairs
LCL	258	256	GM12878	0	10	864	0.298611111111111	0.296296296296296	0.992248062015504	scABC	LCL.GM12878	ABC (A=scATAC, C=power law)	#0096a0	118-999 variants	0-10 Kb	9-9 biosample pairs
B	47	47	BMMC5_B	0	10	156	0.301282051282051	0.301282051282051	1	scABC	B.BMMC5_B	ABC (A=scATAC, C=power law)	#0096a0	118-999 variants	0-10 Kb	9-9 biosample pairs
T	39	39	BMMC5_T	0	10	118	0.330508474576271	0.330508474576271	1	scABC	T.BMMC5_T	ABC (A=scATAC, C=power law)	#0096a0	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	252	246	BMMC5_Erythroid	0	10	999	0.252252252252252	0.246246246246246	0.976190476190476	scABC	blood.BMMC5_Erythroid	ABC (A=scATAC, C=power law)	#0096a0	118-999 variants	0-10 Kb	9-9 biosample pairs
B	46	46	PBMC5_B	0	10	156	0.294871794871795	0.294871794871795	1	scABC	B.PBMC5_B	ABC (A=scATAC, C=power law)	#0096a0	118-999 variants	0-10 Kb	9-9 biosample pairs
NK	80	78	PBMC5_NK	0	10	226	0.353982300884956	0.345132743362832	0.975	scABC	NK.PBMC5_NK	ABC (A=scATAC, C=power law)	#0096a0	118-999 variants	0-10 Kb	9-9 biosample pairs
T	35	35	PBMC5_T	0	10	118	0.296610169491525	0.296610169491525	1	scABC	T.PBMC5_T	ABC (A=scATAC, C=power law)	#0096a0	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	131	89	K562	10	100	1464	0.0894808743169399	0.060792349726776	0.679389312977099	scABC	blood.K562	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
spleen	22	15	K562	10	100	268	0.082089552238806	0.0559701492537313	0.681818181818182	scABC	spleen.K562	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
LCL	161	118	GM12878	10	100	1163	0.138435081685297	0.10146173688736	0.732919254658385	scABC	LCL.GM12878	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	40	32	BMMC5_B	10	100	256	0.15625	0.125	0.8	scABC	B.BMMC5_B	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	21	20	BMMC5_T	10	100	134	0.156716417910448	0.149253731343284	0.952380952380952	scABC	T.BMMC5_T	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	8	7	BMMC5_Dendritic	10	100	21	0.380952380952381	0.333333333333333	0.875	scABC	dendritic.BMMC5_Dendritic	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
blood	131	89	BMMC5_Erythroid	10	100	1464	0.0894808743169399	0.060792349726776	0.679389312977099	scABC	blood.BMMC5_Erythroid	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	33	27	PBMC5_B	10	100	256	0.12890625	0.10546875	0.818181818181818	scABC	B.PBMC5_B	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	8	8	PBMC5_DC	10	100	21	0.380952380952381	0.380952380952381	1	scABC	dendritic.PBMC5_DC	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
NK	55	43	PBMC5_NK	10	100	370	0.148648648648649	0.116216216216216	0.781818181818182	scABC	NK.PBMC5_NK	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	19	17	PBMC5_T	10	100	134	0.141791044776119	0.126865671641791	0.894736842105263	scABC	T.PBMC5_T	ABC (A=scATAC, C=power law)	#0096a0	21-1464 variants	10-100 Kb	11-11 biosample pairs
blood	11	4	K562	100	250	243	0.0452674897119342	0.0164609053497942	0.363636363636364	scABC	blood.K562	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
spleen	2	0	K562	100	250	47	0.0425531914893617	0	0	scABC	spleen.K562	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
LCL	14	5	GM12878	100	250	240	0.0583333333333333	0.0208333333333333	0.357142857142857	scABC	LCL.GM12878	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
B	6	1	BMMC5_B	100	250	43	0.13953488372093	0.0232558139534884	0.166666666666667	scABC	B.BMMC5_B	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
T	2	0	BMMC5_T	100	250	27	0.0740740740740741	0	0	scABC	T.BMMC5_T	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
blood	13	1	BMMC5_Erythroid	100	250	243	0.0534979423868313	0.00411522633744856	0.0769230769230769	scABC	blood.BMMC5_Erythroid	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
B	4	1	PBMC5_B	100	250	43	0.0930232558139535	0.0232558139534884	0.25	scABC	B.PBMC5_B	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
NK	6	1	PBMC5_NK	100	250	59	0.101694915254237	0.0169491525423729	0.166666666666667	scABC	NK.PBMC5_NK	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
T	2	0	PBMC5_T	100	250	27	0.0740740740740741	0	0	scABC	T.PBMC5_T	ABC (A=scATAC, C=power law)	#0096a0	27-243 variants	100-250 Kb	9-9 biosample pairs
blood	6	0	K562	250	1000	134	0.0447761194029851	0	0	scABC	blood.K562	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
spleen	1	0	K562	250	1000	35	0.0285714285714286	0	0	scABC	spleen.K562	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
LCL	4	0	GM12878	250	1000	130	0.0307692307692308	0	0	scABC	LCL.GM12878	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
B	3	0	BMMC5_B	250	1000	43	0.0697674418604651	0	0	scABC	B.BMMC5_B	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
blood	6	0	BMMC5_Erythroid	250	1000	134	0.0447761194029851	0	0	scABC	blood.BMMC5_Erythroid	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
B	1	0	PBMC5_B	250	1000	43	0.0232558139534884	0	0	scABC	B.PBMC5_B	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
NK	2	0	PBMC5_NK	250	1000	44	0.0454545454545455	0	0	scABC	NK.PBMC5_NK	ABC (A=scATAC, C=power law)	#0096a0	35-134 variants	250-1000 Kb	7-7 biosample pairs
blood	435	369	K562	0	30000	2846	0.152846099789178	0.129655657062544	0.848275862068966	scABC	blood.K562	ABC (A=scATAC, C=power law)	#0096a0	35-2846 variants	All variants	11-11 biosample pairs
spleen	86	74	K562	0	30000	618	0.13915857605178	0.119741100323625	0.86046511627907	scABC	spleen.K562	ABC (A=scATAC, C=power law)	#0096a0	35-2846 variants	All variants	11-11 biosample pairs
LCL	437	379	GM12878	0	30000	2398	0.182235195996664	0.158048373644704	0.867276887871854	scABC	LCL.GM12878	ABC (A=scATAC, C=power law)	#0096a0	35-2846 variants	All variants	11-11 biosample pairs
B	96	80	BMMC5_B	0	30000	498	0.192771084337349	0.160642570281125	0.833333333333333	scABC	B.BMMC5_B	ABC (A=scATAC, C=power law)	#0096a0	35-2846 variants	All variants	11-11 biosample pairs
T	62	59	BMMC5_T	0	30000	298	0.208053691275168	0.197986577181208	0.951612903225806	scABC	T.BMMC5_T	ABC (A=scATAC, C=power law)	#0096a0	35-2846 variants	All variants	11-11 biosample pairs
dendritic	13	10	BMMC5_Dendritic	0	30000	35	0.371428571428571	0.285714285714286	0.769230769230769	scABC	dendritic.BMMC5_Dendritic	ABC (A=scATAC, C=power law)	#0096a0	35-2846 variants	All variants	11-11 biosample pairs
blood	403	336	BMMC5_Erythroid	0	30000	2846	0.141602248770204	0.118060435699227	0.833746898263027	scABC	blood.BMMC5_Erythroid	ABC (A=scATAC, C=power law)	#0096a0	35-2846 variants	All variants	11-11 biosample pairs
B	84	74	PBMC5_B	0	30000	498	0.168674698795181	0.14859437751004	0.880952380952381	scABC	B.PBMC5_B	ABC (A=scATAC, C=power law)	#0096a0	35-2846 variants	All variants	11-11 biosample pairs
dendritic	10	10	PBMC5_DC	0	30000	35	0.285714285714286	0.285714285714286	1	scABC	dendritic.PBMC5_DC	ABC (A=scATAC, C=power law)	#0096a0	35-2846 variants	All variants	11-11 biosample pairs
NK	143	122	PBMC5_NK	0	30000	699	0.204577968526466	0.174535050071531	0.853146853146853	scABC	NK.PBMC5_NK	ABC (A=scATAC, C=power law)	#0096a0	35-2846 variants	All variants	11-11 biosample pairs
T	56	52	PBMC5_T	0	30000	298	0.187919463087248	0.174496644295302	0.928571428571429	scABC	T.PBMC5_T	ABC (A=scATAC, C=power law)	#0096a0	35-2846 variants	All variants	11-11 biosample pairs
blood	290	282	K562	0	10	999	0.29029029029029	0.282282282282282	0.972413793103448	ABC_distanceToTSS	blood.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	118-999 variants	0-10 Kb	9-9 biosample pairs
spleen	67	62	K562	0	10	266	0.25187969924812	0.233082706766917	0.925373134328358	ABC_distanceToTSS	spleen.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	118-999 variants	0-10 Kb	9-9 biosample pairs
LCL	262	259	GM12878	0	10	864	0.303240740740741	0.299768518518519	0.988549618320611	ABC_distanceToTSS	LCL.GM12878	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	118-999 variants	0-10 Kb	9-9 biosample pairs
B	49	49	BMMC5_B	0	10	156	0.314102564102564	0.314102564102564	1	ABC_distanceToTSS	B.BMMC5_B	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	118-999 variants	0-10 Kb	9-9 biosample pairs
T	42	41	BMMC5_T	0	10	118	0.355932203389831	0.347457627118644	0.976190476190476	ABC_distanceToTSS	T.BMMC5_T	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	270	256	BMMC5_Erythroid	0	10	999	0.27027027027027	0.256256256256256	0.948148148148148	ABC_distanceToTSS	blood.BMMC5_Erythroid	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	118-999 variants	0-10 Kb	9-9 biosample pairs
B	46	46	PBMC5_B	0	10	156	0.294871794871795	0.294871794871795	1	ABC_distanceToTSS	B.PBMC5_B	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	118-999 variants	0-10 Kb	9-9 biosample pairs
NK	80	79	PBMC5_NK	0	10	226	0.353982300884956	0.349557522123894	0.9875	ABC_distanceToTSS	NK.PBMC5_NK	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	118-999 variants	0-10 Kb	9-9 biosample pairs
T	37	36	PBMC5_T	0	10	118	0.313559322033898	0.305084745762712	0.972972972972973	ABC_distanceToTSS	T.PBMC5_T	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	215	166	K562	10	100	1464	0.146857923497268	0.113387978142077	0.772093023255814	ABC_distanceToTSS	blood.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	21-1464 variants	10-100 Kb	11-11 biosample pairs
spleen	36	24	K562	10	100	268	0.134328358208955	0.0895522388059701	0.666666666666667	ABC_distanceToTSS	spleen.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	21-1464 variants	10-100 Kb	11-11 biosample pairs
LCL	191	150	GM12878	10	100	1163	0.164230438521066	0.128976784178848	0.785340314136126	ABC_distanceToTSS	LCL.GM12878	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	48	41	BMMC5_B	10	100	256	0.1875	0.16015625	0.854166666666667	ABC_distanceToTSS	B.BMMC5_B	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	29	27	BMMC5_T	10	100	134	0.216417910447761	0.201492537313433	0.931034482758621	ABC_distanceToTSS	T.BMMC5_T	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	7	6	BMMC5_Dendritic	10	100	21	0.333333333333333	0.285714285714286	0.857142857142857	ABC_distanceToTSS	dendritic.BMMC5_Dendritic	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	21-1464 variants	10-100 Kb	11-11 biosample pairs
blood	226	187	BMMC5_Erythroid	10	100	1464	0.154371584699454	0.127732240437158	0.827433628318584	ABC_distanceToTSS	blood.BMMC5_Erythroid	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	40	35	PBMC5_B	10	100	256	0.15625	0.13671875	0.875	ABC_distanceToTSS	B.PBMC5_B	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	7	7	PBMC5_DC	10	100	21	0.333333333333333	0.333333333333333	1	ABC_distanceToTSS	dendritic.PBMC5_DC	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	21-1464 variants	10-100 Kb	11-11 biosample pairs
NK	64	59	PBMC5_NK	10	100	370	0.172972972972973	0.159459459459459	0.921875	ABC_distanceToTSS	NK.PBMC5_NK	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	30	26	PBMC5_T	10	100	134	0.223880597014925	0.194029850746269	0.866666666666667	ABC_distanceToTSS	T.PBMC5_T	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	21-1464 variants	10-100 Kb	11-11 biosample pairs
blood	18	0	K562	100	250	243	0.0740740740740741	0	0	ABC_distanceToTSS	blood.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	27-243 variants	100-250 Kb	9-9 biosample pairs
spleen	3	0	K562	100	250	47	0.0638297872340426	0	0	ABC_distanceToTSS	spleen.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	27-243 variants	100-250 Kb	9-9 biosample pairs
LCL	14	0	GM12878	100	250	240	0.0583333333333333	0	0	ABC_distanceToTSS	LCL.GM12878	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	27-243 variants	100-250 Kb	9-9 biosample pairs
B	8	0	BMMC5_B	100	250	43	0.186046511627907	0	0	ABC_distanceToTSS	B.BMMC5_B	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	27-243 variants	100-250 Kb	9-9 biosample pairs
T	4	0	BMMC5_T	100	250	27	0.148148148148148	0	0	ABC_distanceToTSS	T.BMMC5_T	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	27-243 variants	100-250 Kb	9-9 biosample pairs
blood	17	0	BMMC5_Erythroid	100	250	243	0.0699588477366255	0	0	ABC_distanceToTSS	blood.BMMC5_Erythroid	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	27-243 variants	100-250 Kb	9-9 biosample pairs
B	5	0	PBMC5_B	100	250	43	0.116279069767442	0	0	ABC_distanceToTSS	B.PBMC5_B	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	27-243 variants	100-250 Kb	9-9 biosample pairs
NK	4	0	PBMC5_NK	100	250	59	0.0677966101694915	0	0	ABC_distanceToTSS	NK.PBMC5_NK	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	27-243 variants	100-250 Kb	9-9 biosample pairs
T	3	0	PBMC5_T	100	250	27	0.111111111111111	0	0	ABC_distanceToTSS	T.PBMC5_T	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	27-243 variants	100-250 Kb	9-9 biosample pairs
blood	8	0	K562	250	1000	134	0.0597014925373134	0	0	ABC_distanceToTSS	blood.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
spleen	3	0	K562	250	1000	35	0.0857142857142857	0	0	ABC_distanceToTSS	spleen.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
LCL	6	0	GM12878	250	1000	130	0.0461538461538462	0	0	ABC_distanceToTSS	LCL.GM12878	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
B	3	0	BMMC5_B	250	1000	43	0.0697674418604651	0	0	ABC_distanceToTSS	B.BMMC5_B	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
blood	7	0	BMMC5_Erythroid	250	1000	134	0.0522388059701493	0	0	ABC_distanceToTSS	blood.BMMC5_Erythroid	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
B	2	0	PBMC5_B	250	1000	43	0.0465116279069768	0	0	ABC_distanceToTSS	B.PBMC5_B	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
NK	1	0	PBMC5_NK	250	1000	44	0.0227272727272727	0	0	ABC_distanceToTSS	NK.PBMC5_NK	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-134 variants	250-1000 Kb	7-7 biosample pairs
blood	531	448	K562	0	30000	2846	0.1865776528461	0.157413914265636	0.843691148775895	ABC_distanceToTSS	blood.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-2846 variants	All variants	11-11 biosample pairs
spleen	109	86	K562	0	30000	618	0.176375404530744	0.13915857605178	0.788990825688074	ABC_distanceToTSS	spleen.K562	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-2846 variants	All variants	11-11 biosample pairs
LCL	473	409	GM12878	0	30000	2398	0.197247706422018	0.170558798999166	0.864693446088795	ABC_distanceToTSS	LCL.GM12878	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-2846 variants	All variants	11-11 biosample pairs
B	108	90	BMMC5_B	0	30000	498	0.216867469879518	0.180722891566265	0.833333333333333	ABC_distanceToTSS	B.BMMC5_B	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-2846 variants	All variants	11-11 biosample pairs
T	76	68	BMMC5_T	0	30000	298	0.25503355704698	0.228187919463087	0.894736842105263	ABC_distanceToTSS	T.BMMC5_T	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-2846 variants	All variants	11-11 biosample pairs
dendritic	11	9	BMMC5_Dendritic	0	30000	35	0.314285714285714	0.257142857142857	0.818181818181818	ABC_distanceToTSS	dendritic.BMMC5_Dendritic	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-2846 variants	All variants	11-11 biosample pairs
blood	520	443	BMMC5_Erythroid	0	30000	2846	0.182712579058327	0.155657062543921	0.851923076923077	ABC_distanceToTSS	blood.BMMC5_Erythroid	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-2846 variants	All variants	11-11 biosample pairs
B	93	81	PBMC5_B	0	30000	498	0.186746987951807	0.162650602409639	0.870967741935484	ABC_distanceToTSS	B.PBMC5_B	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-2846 variants	All variants	11-11 biosample pairs
dendritic	10	9	PBMC5_DC	0	30000	35	0.285714285714286	0.257142857142857	0.9	ABC_distanceToTSS	dendritic.PBMC5_DC	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-2846 variants	All variants	11-11 biosample pairs
NK	149	138	PBMC5_NK	0	30000	699	0.213161659513591	0.197424892703863	0.926174496644295	ABC_distanceToTSS	NK.PBMC5_NK	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-2846 variants	All variants	11-11 biosample pairs
T	70	62	PBMC5_T	0	30000	298	0.23489932885906	0.208053691275168	0.885714285714286	ABC_distanceToTSS	T.PBMC5_T	In element (ABC (A=scATAC)) & distance to TSS	#96a0b3	35-2846 variants	All variants	11-11 biosample pairs
blood	300	293	K562	0	10	999	0.3003003003003	0.293293293293293	0.976666666666667	STARE	blood.K562	STARE (gABC, power law)	#96ced3	118-999 variants	0-10 Kb	9-9 biosample pairs
spleen	75	71	K562	0	10	266	0.281954887218045	0.266917293233083	0.946666666666667	STARE	spleen.K562	STARE (gABC, power law)	#96ced3	118-999 variants	0-10 Kb	9-9 biosample pairs
LCL	267	263	GM12878	0	10	864	0.309027777777778	0.304398148148148	0.98501872659176	STARE	LCL.GM12878	STARE (gABC, power law)	#96ced3	118-999 variants	0-10 Kb	9-9 biosample pairs
B	49	48	BMMC5_B	0	10	156	0.314102564102564	0.307692307692308	0.979591836734694	STARE	B.BMMC5_B	STARE (gABC, power law)	#96ced3	118-999 variants	0-10 Kb	9-9 biosample pairs
T	40	39	BMMC5_T	0	10	118	0.338983050847458	0.330508474576271	0.975	STARE	T.BMMC5_T	STARE (gABC, power law)	#96ced3	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	275	272	BMMC5_Erythroid	0	10	999	0.275275275275275	0.272272272272272	0.989090909090909	STARE	blood.BMMC5_Erythroid	STARE (gABC, power law)	#96ced3	118-999 variants	0-10 Kb	9-9 biosample pairs
B	46	44	PBMC5_B	0	10	156	0.294871794871795	0.282051282051282	0.956521739130435	STARE	B.PBMC5_B	STARE (gABC, power law)	#96ced3	118-999 variants	0-10 Kb	9-9 biosample pairs
NK	83	83	PBMC5_NK	0	10	226	0.367256637168142	0.367256637168142	1	STARE	NK.PBMC5_NK	STARE (gABC, power law)	#96ced3	118-999 variants	0-10 Kb	9-9 biosample pairs
T	37	36	PBMC5_T	0	10	118	0.313559322033898	0.305084745762712	0.972972972972973	STARE	T.PBMC5_T	STARE (gABC, power law)	#96ced3	118-999 variants	0-10 Kb	9-9 biosample pairs
blood	239	197	K562	10	100	1464	0.163251366120219	0.134562841530055	0.824267782426778	STARE	blood.K562	STARE (gABC, power law)	#96ced3	21-1464 variants	10-100 Kb	11-11 biosample pairs
spleen	45	38	K562	10	100	268	0.167910447761194	0.141791044776119	0.844444444444445	STARE	spleen.K562	STARE (gABC, power law)	#96ced3	21-1464 variants	10-100 Kb	11-11 biosample pairs
LCL	215	175	GM12878	10	100	1163	0.184866723989682	0.150472914875322	0.813953488372093	STARE	LCL.GM12878	STARE (gABC, power law)	#96ced3	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	55	47	BMMC5_B	10	100	256	0.21484375	0.18359375	0.854545454545455	STARE	B.BMMC5_B	STARE (gABC, power law)	#96ced3	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	28	25	BMMC5_T	10	100	134	0.208955223880597	0.186567164179104	0.892857142857143	STARE	T.BMMC5_T	STARE (gABC, power law)	#96ced3	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	9	8	BMMC5_Dendritic	10	100	21	0.428571428571429	0.380952380952381	0.888888888888889	STARE	dendritic.BMMC5_Dendritic	STARE (gABC, power law)	#96ced3	21-1464 variants	10-100 Kb	11-11 biosample pairs
blood	254	204	BMMC5_Erythroid	10	100	1464	0.173497267759563	0.139344262295082	0.803149606299213	STARE	blood.BMMC5_Erythroid	STARE (gABC, power law)	#96ced3	21-1464 variants	10-100 Kb	11-11 biosample pairs
B	43	38	PBMC5_B	10	100	256	0.16796875	0.1484375	0.883720930232558	STARE	B.PBMC5_B	STARE (gABC, power law)	#96ced3	21-1464 variants	10-100 Kb	11-11 biosample pairs
dendritic	9	8	PBMC5_DC	10	100	21	0.428571428571429	0.380952380952381	0.888888888888889	STARE	dendritic.PBMC5_DC	STARE (gABC, power law)	#96ced3	21-1464 variants	10-100 Kb	11-11 biosample pairs
NK	74	60	PBMC5_NK	10	100	370	0.2	0.162162162162162	0.810810810810811	STARE	NK.PBMC5_NK	STARE (gABC, power law)	#96ced3	21-1464 variants	10-100 Kb	11-11 biosample pairs
T	27	23	PBMC5_T	10	100	134	0.201492537313433	0.171641791044776	0.851851851851852	STARE	T.PBMC5_T	STARE (gABC, power law)	#96ced3	21-1464 variants	10-100 Kb	11-11 biosample pairs
